geneid,node1,node2,node1_string_id,node2_string_id,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
6767,ST13,AHSA1,9606.ENSP00000216218,9606.ENSP00000216479,0.0,0.0,0.387,0.427
3560,IL2RB,GZMH,9606.ENSP00000216223,9606.ENSP00000216338,0.0,0.0,0.25,0.571
3560,IL2RB,GZMB,9606.ENSP00000216223,9606.ENSP00000216341,0.0,0.0,0.597,0.907
3560,IL2RB,SOS2,9606.ENSP00000216223,9606.ENSP00000216373,0.0,0.5,0.045,0.503
9978,RBX1,PHF5A,9606.ENSP00000216225,9606.ENSP00000216252,0.0,0.0,0.143,0.433
9978,RBX1,POLE2,9606.ENSP00000216225,9606.ENSP00000216367,0.8,0.5,0.138,0.907
9978,RBX1,PSMA3,9606.ENSP00000216225,9606.ENSP00000216455,0.0,0.5,0.077,0.667
9978,RBX1,NFKBIA,9606.ENSP00000216225,9606.ENSP00000216797,0.81,0.9,0.371,0.987
9978,RBX1,PSME2,9606.ENSP00000216225,9606.ENSP00000216802,0.0,0.5,0.064,0.54
9978,RBX1,AURKA,9606.ENSP00000216225,9606.ENSP00000216911,0.0,0.5,0.222,0.596
83746,L3MBTL2,CHADL,9606.ENSP00000216237,9606.ENSP00000216241,0.0,0.0,0.397,0.401
83746,L3MBTL2,ZFP64,9606.ENSP00000216237,9606.ENSP00000216923,0.278,0.0,0.065,0.456
50,ACO2,PYGL,9606.ENSP00000216254,9606.ENSP00000216392,0.0,0.0,0.413,0.443
50,ACO2,PCK2,9606.ENSP00000216254,9606.ENSP00000216780,0.0,0.0,0.525,0.556
50,ACO2,PSME2,9606.ENSP00000216254,9606.ENSP00000216802,0.0,0.0,0.391,0.409
50,ACO2,PYGB,9606.ENSP00000216254,9606.ENSP00000216962,0.0,0.0,0.414,0.487
64781,CERK,PLEK2,9606.ENSP00000216264,9606.ENSP00000216446,0.0,0.0,0.54,0.54
64781,CERK,SPTLC2,9606.ENSP00000216264,9606.ENSP00000216484,0.057,0.0,0.785,0.792
11035,RIPK3,PYGL,9606.ENSP00000216274,9606.ENSP00000216392,0.215,0.9,0.603,0.966
11035,RIPK3,NFKBIA,9606.ENSP00000216274,9606.ENSP00000216797,0.095,0.5,0.41,0.717
11035,RIPK3,PYGB,9606.ENSP00000216274,9606.ENSP00000216962,0.074,0.9,0.576,0.957
10914,PAPOLA,PABPN1,9606.ENSP00000216277,9606.ENSP00000216727,0.305,0.8,0.94,0.991
10914,PAPOLA,CSTF1,9606.ENSP00000216277,9606.ENSP00000217109,0.0,0.5,0.785,0.889
11198,SUPT16H,CINP,9606.ENSP00000216297,9606.ENSP00000216756,0.822,0.0,0.299,0.877
2287,FKBP3,PSMA3,9606.ENSP00000216330,9606.ENSP00000216455,0.046,0.0,0.135,0.527
2999,GZMH,GZMB,9606.ENSP00000216338,9606.ENSP00000216341,0.0,0.0,0.065,0.847
3002,GZMB,SOS2,9606.ENSP00000216341,9606.ENSP00000216373,0.0,0.0,0.527,0.536
5427,POLE2,APEX1,9606.ENSP00000216367,9606.ENSP00000216714,0.0,0.5,0.194,0.612
5427,POLE2,AURKA,9606.ENSP00000216367,9606.ENSP00000216911,0.0,0.0,0.233,0.407
6655,SOS2,PLEK2,9606.ENSP00000216373,9606.ENSP00000216446,0.0,0.0,0.447,0.447
5836,PYGL,PCK2,9606.ENSP00000216392,9606.ENSP00000216780,0.0,0.0,0.53,0.564
5836,PYGL,PYGB,9606.ENSP00000216392,9606.ENSP00000216962,0.837,0.9,0.077,0.984
10175,CNIH1,CGRRF1,9606.ENSP00000216416,9606.ENSP00000216420,0.0,0.0,0.507,0.544
5684,PSMA3,PABPN1,9606.ENSP00000216455,9606.ENSP00000216727,0.067,0.0,0.0,0.419
5684,PSMA3,NFKBIA,9606.ENSP00000216455,9606.ENSP00000216797,0.086,0.4,0.08,0.456
5684,PSMA3,PSME2,9606.ENSP00000216455,9606.ENSP00000216802,0.976,0.0,0.477,0.992
5684,PSMA3,AURKA,9606.ENSP00000216455,9606.ENSP00000216911,0.0,0.4,0.0,0.413
8106,PABPN1,CSTF1,9606.ENSP00000216727,9606.ENSP00000217109,0.0,0.5,0.647,0.886
5106,PCK2,PYGB,9606.ENSP00000216780,9606.ENSP00000216962,0.0,0.0,0.506,0.54
4792,NFKBIA,PSME2,9606.ENSP00000216797,9606.ENSP00000216802,0.0,0.4,0.15,0.53
4792,NFKBIA,AURKA,9606.ENSP00000216797,9606.ENSP00000216911,0.292,0.0,0.187,0.413
5721,PSME2,AURKA,9606.ENSP00000216802,9606.ENSP00000216911,0.0,0.4,0.0,0.413
6790,AURKA,MYBL2,9606.ENSP00000216911,9606.ENSP00000217026,0.051,0.0,0.742,0.84
6790,AURKA,CSTF1,9606.ENSP00000216911,9606.ENSP00000217109,0.0,0.0,0.521,0.6
7165,TPD52L2,GABPB1,9606.ENSP00000217121,9606.ENSP00000220429,0.822,0.0,0.0,0.822
1522,CTSZ,TUBB1,9606.ENSP00000217131,9606.ENSP00000217133,0.057,0.0,0.741,0.749
1522,CTSZ,CTSH,9606.ENSP00000217131,9606.ENSP00000220166,0.085,0.0,0.402,0.509
81027,TUBB1,CHMP4B,9606.ENSP00000217133,9606.ENSP00000217402,0.0,0.5,0.0,0.499
1457,CSNK2A1,MAZ,9606.ENSP00000217244,9606.ENSP00000219782,0.33,0.0,0.098,0.406
51654,CDK5RAP1,SNTA1,9606.ENSP00000217372,9606.ENSP00000217381,0.0,0.0,0.091,0.534
51654,CDK5RAP1,APMAP,9606.ENSP00000217372,9606.ENSP00000217456,0.0,0.0,0.279,0.405
191,AHCY,APMAP,9606.ENSP00000217426,9606.ENSP00000217456,0.0,0.0,0.122,0.438
10005,ACOT8,DECR2,9606.ENSP00000217455,9606.ENSP00000219481,0.0,0.0,0.439,0.478
57136,APMAP,NTHL1,9606.ENSP00000217456,9606.ENSP00000219066,0.0,0.0,0.349,0.406
57136,APMAP,POLR2C,9606.ENSP00000217456,9606.ENSP00000219252,0.0,0.0,0.281,0.741
9352,TXNL1,PSMD7,9606.ENSP00000217515,9606.ENSP00000219313,0.349,0.0,0.11,0.611
3421,IDH3G,CMC2,9606.ENSP00000217901,9606.ENSP00000219400,0.0,0.5,0.048,0.51
5716,PSMD10,PSMD7,9606.ENSP00000217958,9606.ENSP00000219313,0.99,0.0,0.571,0.996
412,STS,POLR2C,9606.ENSP00000217961,9606.ENSP00000219252,0.372,0.0,0.085,0.409
55916,NXT2,NUTF2,9606.ENSP00000218004,9606.ENSP00000219169,0.0,0.54,0.878,0.945
55916,NXT2,CMC2,9606.ENSP00000218004,9606.ENSP00000219400,0.0,0.0,0.591,0.594
6102,RP2,NME3,9606.ENSP00000218340,9606.ENSP00000219302,0.0,0.0,0.626,0.626
6102,RP2,NME4,9606.ENSP00000218340,9606.ENSP00000219479,0.0,0.0,0.582,0.582
54,ACP5,PLA2G15,9606.ENSP00000218758,9606.ENSP00000219345,0.0,0.0,0.386,0.403
4913,NTHL1,MPG,9606.ENSP00000219066,9606.ENSP00000219431,0.0,0.0,0.767,0.806
4913,NTHL1,TSC2,9606.ENSP00000219066,9606.ENSP00000219476,0.0,0.0,0.683,0.688
10127,ZNF263,MEFV,9606.ENSP00000219069,9606.ENSP00000219596,0.065,0.0,0.479,0.498
23594,ORC6,CMC2,9606.ENSP00000219097,9606.ENSP00000219400,0.0,0.0,0.384,0.474
11151,CORO1A,CDIPT,9606.ENSP00000219150,9606.ENSP00000219789,0.0,0.0,0.399,0.46
51090,PLLP,FA2H,9606.ENSP00000219207,9606.ENSP00000219368,0.0,0.0,0.42,0.502
1723,DHODH,MTFMT,9606.ENSP00000219240,9606.ENSP00000220058,0.0,0.0,0.302,0.474
5432,POLR2C,AGO2,9606.ENSP00000219252,9606.ENSP00000220592,0.072,0.5,0.138,0.568
4832,NME3,NME4,9606.ENSP00000219302,9606.ENSP00000219479,0.471,0.9,0.083,0.949
55512,SMPD3,AGO2,9606.ENSP00000219334,9606.ENSP00000220592,0.0,0.0,0.448,0.448
4350,MPG,VPS18,9606.ENSP00000219431,9606.ENSP00000220509,0.0,0.0,0.83,0.831
10273,STUB1,AGO2,9606.ENSP00000219548,9606.ENSP00000220592,0.36,0.0,0.201,0.468
4150,MAZ,CDIPT,9606.ENSP00000219782,9606.ENSP00000219789,0.0,0.0,0.36,0.402
1445,CSK,PAG1,9606.ENSP00000220003,9606.ENSP00000220597,0.912,0.9,0.994,0.999
55290,BRF2,SNAPC2,9606.ENSP00000220659,9606.ENSP00000221573,0.0,0.5,0.404,0.702
79752,ZFAND1,EIF3E,9606.ENSP00000220669,9606.ENSP00000220849,0.0,0.0,0.145,0.4
8767,RIPK2,RELB,9606.ENSP00000220751,9606.ENSP00000221452,0.098,0.0,0.428,0.529
1666,DECR1,ECH1,9606.ENSP00000220764,9606.ENSP00000221418,0.099,0.145,0.493,0.656
3646,EIF3E,RPL18A,9606.ENSP00000220849,9606.ENSP00000222247,0.0,0.0,0.197,0.594
2936,GSR,GAPDHS,9606.ENSP00000221130,9606.ENSP00000222286,0.0,0.0,0.38,0.429
56915,EXOSC5,RNASEH2A,9606.ENSP00000221233,9606.ENSP00000221486,0.0,0.0,0.313,0.471
56915,EXOSC5,FBL,9606.ENSP00000221233,9606.ENSP00000221801,0.429,0.4,0.278,0.789
54623,PAF1,POLR2I,9606.ENSP00000221265,9606.ENSP00000221859,0.896,0.0,0.072,0.906
1891,ECH1,HNRNPL,9606.ENSP00000221418,9606.ENSP00000221419,0.292,0.0,0.071,0.414
5971,RELB,CLASRP,9606.ENSP00000221452,9606.ENSP00000221455,0.0,0.0,0.087,0.474
5971,RELB,TGFB1,9606.ENSP00000221452,9606.ENSP00000221930,0.045,0.0,0.595,0.653
11129,CLASRP,CCDC9,9606.ENSP00000221455,9606.ENSP00000221922,0.0,0.0,0.245,0.483
64130,LIN7B,RAB3A,9606.ENSP00000221459,9606.ENSP00000222256,0.0,0.5,0.129,0.576
10535,RNASEH2A,DNASE2,9606.ENSP00000221486,9606.ENSP00000222219,0.0,0.0,0.481,0.489
56729,RETN,HGF,9606.ENSP00000221515,9606.ENSP00000222390,0.0,0.0,0.378,0.401
56729,RETN,NAMPT,9606.ENSP00000221515,9606.ENSP00000222553,0.0,0.0,0.915,0.916
6449,SGTA,CDC37,9606.ENSP00000221566,9606.ENSP00000222005,0.126,0.0,0.564,0.672
2091,FBL,RPL18A,9606.ENSP00000221801,9606.ENSP00000222247,0.321,0.0,0.211,0.776
2091,FBL,ABCF2,9606.ENSP00000221801,9606.ENSP00000222388,0.0,0.0,0.093,0.418
1155,TBCB,POLR2I,9606.ENSP00000221855,9606.ENSP00000221859,0.0,0.0,0.204,0.414
7040,TGFB1,CD79A,9606.ENSP00000221930,9606.ENSP00000221972,0.0,0.0,0.51,0.532
7040,TGFB1,HGF,9606.ENSP00000221930,9606.ENSP00000222390,0.0,0.4,0.871,0.921
973,CD79A,NKG7,9606.ENSP00000221972,9606.ENSP00000221978,0.074,0.0,0.583,0.673
10567,RABAC1,RAB3A,9606.ENSP00000222008,9606.ENSP00000222256,0.236,0.0,0.624,0.7
10567,RABAC1,TMEM147,9606.ENSP00000222008,9606.ENSP00000222284,0.0,0.0,0.291,0.411
84518,CNFN,ZNF574,9606.ENSP00000222032,9606.ENSP00000222339,0.102,0.0,0.548,0.596
6142,RPL18A,TMEM147,9606.ENSP00000222247,9606.ENSP00000222284,0.816,0.0,0.0,0.823
6142,RPL18A,ABCF2,9606.ENSP00000222247,9606.ENSP00000222388,0.392,0.0,0.082,0.511
27106,ARRDC2,RAB3A,9606.ENSP00000222250,9606.ENSP00000222256,0.0,0.0,0.425,0.425
5296,PIK3R2,HGF,9606.ENSP00000222254,9606.ENSP00000222390,0.0,0.4,0.136,0.459
7392,USF2,GSK3A,9606.ENSP00000222305,9606.ENSP00000222330,0.054,0.0,0.051,0.475
221830,TWISTNB,ABHD11,9606.ENSP00000222567,9606.ENSP00000222800,0.0,0.0,0.381,0.407
221830,TWISTNB,RBM28,9606.ENSP00000222567,9606.ENSP00000223073,0.0,0.0,0.095,0.834
221830,TWISTNB,RPA3,9606.ENSP00000222567,9606.ENSP00000223129,0.0,0.0,0.911,0.916
221830,TWISTNB,UTP18,9606.ENSP00000222567,9606.ENSP00000225298,0.0,0.0,0.24,0.692
55033,FKBP14,AEBP1,9606.ENSP00000222803,9606.ENSP00000223357,0.0,0.0,0.447,0.454
6804,STX1A,YKT6,9606.ENSP00000222812,9606.ENSP00000223369,0.296,0.54,0.524,0.834
